Index_client;sexe;Age;Présence_enfant;Présence_conduite_accompagnee;Tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;intervalle_devis
57;F;58;Oui;Non;[40k-60k€];Commercial;Van;4;9.0;Highly Urban/ Urban;14/05/2022 13:46;complet;[250-500€]
58;M;35;Non;Non;[60k-80k€];Private;z_SUV;2;12.0;Highly Urban/ Urban;20/04/2022 10:04;complet;[250-500€]
59;F;75;Oui;Oui;[20k-40k€];Private;Van;0;1.0;Highly Urban/ Urban;22/01/2022 11:01;complet;[250-500€]
60;F;33;Oui;Oui;[20k-40k€];Private;Sports Car;1;7.0;Highly Urban/ Urban;26/04/2022 16:17;complet;[250-500€]
61;F;75;Non;Non;[80k-100k€];Private;Minivan;0;16.0;Highly Urban/ Urban;23/03/2022 15:45;complet;[250-500€]
62;F;57;Non;Non;[40k-60k€];Private;Pickup;0;8.0;Highly Urban/ Urban;27/04/2022 03:37;complet;[250-500€]
63;F;73;Oui;Non;[60k-80k€];Commercial;Van;0;5.0;Highly Urban/ Urban;24/05/2022 02:44;complet;[250-500€]
64;F;83;Oui;Non;[20k-40k€];Private;Sports Car;0;1.0;Highly Urban/ Urban;09/05/2022 23:43;complet;[250-500€]
65;F;6;Non;Non;[0-20k€];Private;z_SUV;0;6.0;Highly Urban/ Urban;22/04/2022 08:38;complet;[250-500€]
66;M;53;Non;Non;[60k-80k€];Private;z_SUV;5;1.0;Highly Urban/ Urban;17/05/2022 07:36;complet;[250-500€]
67;M;71;Non;Non;[80k-100k€];Private;Pickup;0;7.0;Highly Urban/ Urban;01/05/2022 22:37;complet;[250-500€]
68;M;53;Non;Non;[0-20k€];Private;Minivan;3;5.0;z_Highly Rural/ Rural;29/05/2022 10:50;complet;[250-500€]
69;M;75;Oui;Non;[20k-40k€];Private;z_SUV;2;13.0;Highly Urban/ Urban;04/04/2022 09:48;complet;[250-500€]
70;F;26;Non;Non;[80k-100k€];Commercial;Pickup;1;3.0;Highly Urban/ Urban;27/01/2022 21:31;complet;[250-500€]
71;F;6;Non;Non;[60k-80k€];Private;z_SUV;0;9.0;Highly Urban/ Urban;13/01/2022 03:29;complet;[250-500€]
72;M;37;Non;Non;[100k+€];Private;z_SUV;2;12.0;Highly Urban/ Urban;08/01/2022 11:18;complet;[250-500€]
73;M;12;Non;Non;[80k-100k€];Private;Minivan;2;9.0;Highly Urban/ Urban;05/04/2022 09:02;complet;[250-500€]
74;F;82;Oui;Non;[60k-80k€];Private;Minivan;2;9.0;z_Highly Rural/ Rural;14/02/2022 02:00;complet;[250-500€]
75;M;81;Non;Non;[40k-60k€];Private;Pickup;0;8.0;Highly Urban/ Urban;14/01/2022 13:12;complet;[250-500€]
76;F;32;Non;Non;[100k+€];Private;z_SUV;1;18.0;Highly Urban/ Urban;20/04/2022 02:38;complet;[250-500€]
77;F;75;Non;Non;[60k-80k€];Commercial;Minivan;5;1.0;Highly Urban/ Urban;10/05/2022 13:40;complet;[250-500€]
78;M;54;Non;Non;[40k-60k€];Commercial;Panel Truck;4;11.0;Highly Urban/ Urban;24/01/2022 17:35;complet;[250-500€]
79;F;55;Non;Non;[40k-60k€];Private;Minivan;4;6.0;Highly Urban/ Urban;01/02/2022 04:48;complet;[250-500€]
80;M;63;Non;Non;[100k+€];Private;Minivan;1;1.0;Highly Urban/ Urban;20/04/2022 07:29;complet;[250-500€]
81;M;85;Non;Non;[0-20k€];Private;Sports Car;0;3.0;z_Highly Rural/ Rural;02/01/2022 10:07;complet;[250-500€]
82;M;66;Non;Non;[100k+€];Commercial;Van;0;8.0;z_Highly Rural/ Rural;18/02/2022 08:51;complet;[250-500€]
83;F;66;Oui;Non;[20k-40k€];Commercial;z_SUV;0;4.0;Highly Urban/ Urban;27/04/2022 19:14;complet;[250-500€]
84;M;66;Non;Non;[0-20k€];Private;Sports Car;1;0;z_Highly Rural/ Rural;09/05/2022 03:37;complet;[250-500€]
85;M;64;Non;Non;[40k-60k€];Commercial;Pickup;2;8.0;Highly Urban/ Urban;14/01/2022 21:13;complet;[250-500€]
86;M;43;Non;Non;[40k-60k€];Private;Minivan;0;9.0;Highly Urban/ Urban;30/03/2022 13:20;complet;[250-500€]
88;F;24;Oui;Oui;[20k-40k€];Private;z_SUV;0;1.0;z_Highly Rural/ Rural;28/05/2022 07:13;complet;[250-500€]
89;M;51;Non;Non;[40k-60k€];Private;Minivan;0;13.0;Highly Urban/ Urban;12/02/2022 08:10;complet;[500-750€]
90;M;60;Oui;Non;[40k-60k€];Private;Sports Car;0;2.0;z_Highly Rural/ Rural;11/01/2022 16:57;complet;[250-500€]
91;M;82;Non;Non;[40k-60k€];Commercial;Minivan;3;1.0;Highly Urban/ Urban;15/04/2022 05:20;complet;[250-500€]
92;F;13;Oui;Non;[20k-40k€];Private;Minivan;1;1.0;Highly Urban/ Urban;28/03/2022 10:41;complet;[250-500€]
93;F;7;Non;Non;[80k-100k€];Private;Sports Car;6;1.0;Highly Urban/ Urban;26/02/2022 21:26;complet;[250-500€]
94;M;64;Non;Non;[40k-60k€];Private;Van;0;1.0;Highly Urban/ Urban;17/01/2022 08:39;complet;[250-500€]
95;F;72;Non;Non;[60k-80k€];Private;Pickup;4;11.0;Highly Urban/ Urban;16/04/2022 00:13;complet;[250-500€]
96;F;53;Non;Non;[20k-40k€];Commercial;Pickup;1;5.0;z_Highly Rural/ Rural;12/01/2022 03:39;complet;[250-500€]
97;M;63;Non;Non;[20k-40k€];Private;Minivan;7;1.0;Highly Urban/ Urban;23/03/2022 01:48;complet;[250-500€]
98;F;38;Oui;Oui;[40k-60k€];Private;Minivan;0;6.0;Highly Urban/ Urban;17/04/2022 15:27;complet;[250-500€]
99;M;44;Oui;Non;[60k-80k€];Private;Van;1;8.0;Highly Urban/ Urban;05/05/2022 04:13;complet;[250-500€]
100;M;21;Non;Non;[60k-80k€];Commercial;z_SUV;0;1.0;Highly Urban/ Urban;28/02/2022 07:30;complet;[250-500€]
101;M;68;Oui;Non;[0-20k€];Commercial;Pickup;2;12.0;Highly Urban/ Urban;12/02/2022 17:39;complet;[250-500€]
102;F;25;Oui;Non;[40k-60k€];Private;Minivan;0;1.0;Highly Urban/ Urban;07/01/2022 19:37;complet;[250-500€]
103;M;54;Non;Non;[100k+€];Private;Minivan;6;11.0;Highly Urban/ Urban;07/01/2022 13:02;complet;[250-500€]
104;M;12;Non;Non;[100k+€];Commercial;Panel Truck;4;17.0;Highly Urban/ Urban;12/01/2022 00:08;complet;[250-500€]
105;M;63;Non;Non;[60k-80k€];Private;Minivan;1;12.0;Highly Urban/ Urban;24/05/2022 14:39;complet;[250-500€]
107;F;74;Oui;Oui;[0-20k€];Private;Minivan;0;5.0;Highly Urban/ Urban;02/01/2022 00:52;complet;[250-500€]
108;M;42;Oui;Non;[60k-80k€];Commercial;Minivan;1;12.0;z_Highly Rural/ Rural;01/03/2022 04:35;complet;[250-500€]
109;F;60;Oui;Non;[100k+€];Private;Minivan;5;11.0;Highly Urban/ Urban;28/01/2022 11:20;complet;[250-500€]
110;M;93;Non;Non;[0-20k€];Private;z_SUV;0;9.0;Highly Urban/ Urban;29/04/2022 08:01;complet;[250-500€]
111;M;55;Non;Non;[60k-80k€];Commercial;z_SUV;0;9.0;Highly Urban/ Urban;20/01/2022 00:10;complet;[250-500€]
112;M;57;Oui;Oui;[100k+€];Commercial;Minivan;0;12.0;Highly Urban/ Urban;06/05/2022 14:07;complet;[250-500€]
113;M;71;Oui;Non;[0-20k€];Private;z_SUV;0;8.0;Highly Urban/ Urban;14/03/2022 17:19;complet;[250-500€]
114;F;67;Oui;Non;[40k-60k€];Commercial;Minivan;2;6.0;Highly Urban/ Urban;20/03/2022 10:44;complet;[250-500€]
115;F;58;Non;Non;[80k-100k€];Private;z_SUV;0;14.0;Highly Urban/ Urban;18/01/2022 01:43;complet;[250-500€]
116;F;54;Oui;Oui;[20k-40k€];Private;Minivan;0;1.0;z_Highly Rural/ Rural;23/01/2022 11:52;complet;[250-500€]
117;F;80;Oui;Oui;[40k-60k€];Private;Sports Car;0;11.0;z_Highly Rural/ Rural;07/01/2022 23:42;complet;[250-500€]
118;F;64;Oui;Oui;[0-20k€];Private;Pickup;0;7.0;Highly Urban/ Urban;02/01/2022 23:14;complet;[250-500€]
119;M;11;Oui;Oui;[40k-60k€];Commercial;Sports Car;2;1.0;Highly Urban/ Urban;23/05/2022 03:25;complet;[250-500€]
120;M;6;Non;Non;[60k-80k€];Private;Minivan;0;15.0;Highly Urban/ Urban;29/05/2022 09:22;complet;[250-500€]
121;M;72;Non;Non;[0-20k€];Private;z_SUV;0;13.0;z_Highly Rural/ Rural;09/02/2022 09:54;complet;[250-500€]
122;M;59;Oui;Non;[80k-100k€];Private;Minivan;2;11.0;Highly Urban/ Urban;17/02/2022 21:50;complet;[250-500€]
123;M;72;Non;Non;[100k+€];Private;z_SUV;0;12.0;Highly Urban/ Urban;06/05/2022 08:05;complet;[250-500€]
124;F;51;Non;Non;[60k-80k€];Private;Pickup;0;11.0;Highly Urban/ Urban;25/01/2022 10:57;complet;[250-500€]
125;F;31;Oui;Non;[20k-40k€];Private;Van;4;9.0;Highly Urban/ Urban;01/01/2022 10:42;complet;[250-500€]
126;M;35;Non;Non;[80k-100k€];Private;Minivan;0;8.0;Highly Urban/ Urban;02/04/2022 23:05;complet;[250-500€]
127;M;71;Non;Non;[100k+€];Private;Minivan;2;1.0;Highly Urban/ Urban;14/04/2022 03:03;complet;[250-500€]
128;M;19;Non;Non;[0-20k€];Commercial;Minivan;7;1.0;z_Highly Rural/ Rural;07/03/2022 01:04;complet;[250-500€]
129;M;23;Non;Non;[40k-60k€];Commercial;Sports Car;1;0;Highly Urban/ Urban;04/04/2022 21:37;complet;[500-750€]
130;M;61;Non;Non;[100k+€];Private;Minivan;1;13.0;Highly Urban/ Urban;20/04/2022 04:58;complet;[250-500€]
131;F;72;Oui;Non;[0-20k€];Private;Sports Car;0;13.0;Highly Urban/ Urban;25/02/2022 11:43;complet;[250-500€]
132;F;73;Oui;Non;[20k-40k€];Private;Minivan;8;9.0;Highly Urban/ Urban;28/05/2022 00:32;complet;[500-750€]
133;M;11;Oui;Non;[0-20k€];Private;z_SUV;0;1.0;z_Highly Rural/ Rural;18/03/2022 05:26;complet;[250-500€]
134;M;58;Non;Non;[20k-40k€];Private;Minivan;3;5.0;Highly Urban/ Urban;25/02/2022 19:06;complet;[250-500€]
135;F;7;Oui;Oui;[40k-60k€];Private;z_SUV;0;9.0;Highly Urban/ Urban;08/04/2022 14:50;complet;[250-500€]
136;F;93;Oui;Non;[80k-100k€];Private;Minivan;0;16.0;Highly Urban/ Urban;01/05/2022 13:47;complet;[250-500€]
137;M;14;Non;Non;[40k-60k€];Commercial;Van;2;15.0;Highly Urban/ Urban;27/03/2022 09:47;complet;[250-500€]
138;M;38;Oui;Oui;[100k+€];Commercial;Van;4;9.0;Highly Urban/ Urban;11/05/2022 02:14;complet;[250-500€]
139;M;54;Oui;Non;[40k-60k€];Commercial;z_SUV;4;1.0;Highly Urban/ Urban;31/05/2022 03:31;complet;[250-500€]
141;M;53;Non;Non;[80k-100k€];Commercial;Sports Car;2;9.0;Highly Urban/ Urban;06/03/2022 04:31;complet;[250-500€]
142;F;54;Non;Non;[100k+€];Private;Minivan;0;9.0;Highly Urban/ Urban;18/02/2022 17:27;complet;[250-500€]
143;F;8;Oui;Non;[100k+€];Private;Pickup;0;12.0;Highly Urban/ Urban;05/01/2022 05:06;complet;[250-500€]
144;M;84;Non;Non;[40k-60k€];Private;z_SUV;5;15.0;Highly Urban/ Urban;19/02/2022 05:07;complet;[500-750€]
145;M;89;Oui;Non;[0-20k€];Commercial;z_SUV;7;0;Highly Urban/ Urban;21/05/2022 17:06;complet;[250-500€]
146;M;53;Non;Non;[20k-40k€];Private;z_SUV;2;11.0;Highly Urban/ Urban;13/05/2022 05:41;complet;[250-500€]
147;M;64;Non;Non;[80k-100k€];Private;z_SUV;0;7.0;Highly Urban/ Urban;20/02/2022 18:23;complet;[250-500€]
148;M;43;Oui;Oui;[20k-40k€];Private;z_SUV;1;10.0;z_Highly Rural/ Rural;16/04/2022 08:28;complet;[250-500€]
149;F;74;Non;Non;[80k-100k€];Private;z_SUV;0;19.0;Highly Urban/ Urban;03/03/2022 11:37;complet;[250-500€]
150;F;78;Non;Non;[80k-100k€];Private;Minivan;0;15.0;z_Highly Rural/ Rural;26/02/2022 20:58;complet;[250-500€]
151;M;79;Non;Non;[40k-60k€];Private;Minivan;0;10.0;Highly Urban/ Urban;19/02/2022 07:35;complet;[250-500€]
152;F;66;Non;Non;[60k-80k€];Private;z_SUV;2;5.0;Highly Urban/ Urban;05/03/2022 12:14;complet;[250-500€]
154;M;33;Non;Non;[20k-40k€];Private;Minivan;1;4.0;Highly Urban/ Urban;25/03/2022 21:08;complet;[250-500€]
155;F;77;Oui;Non;[20k-40k€];Commercial;Pickup;0;9.0;z_Highly Rural/ Rural;22/02/2022 18:20;complet;[250-500€]
156;M;84;Oui;Oui;[100k+€];Commercial;Van;0;12.0;Highly Urban/ Urban;14/01/2022 04:38;complet;[250-500€]
157;F;70;Oui;Non;[0-20k€];Private;Sports Car;5;4.0;Highly Urban/ Urban;08/04/2022 21:31;complet;[250-500€]
158;M;74;Non;Non;[60k-80k€];Private;Pickup;0;15.0;Highly Urban/ Urban;17/04/2022 13:11;complet;[250-500€]
159;M;86;Non;Non;[100k+€];Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;14/05/2022 20:36;complet;[250-500€]
160;M;67;Non;Non;[80k-100k€];Commercial;z_SUV;6;1.0;Highly Urban/ Urban;02/02/2022 00:42;complet;[250-500€]
161;M;71;Oui;Oui;[80k-100k€];Private;Sports Car;0;8.0;Highly Urban/ Urban;21/05/2022 22:35;complet;[250-500€]
162;M;34;Non;Non;[100k+€];Private;z_SUV;2;12.0;Highly Urban/ Urban;09/03/2022 16:06;complet;[250-500€]
163;F;50;Oui;Oui;[100k+€];Private;Minivan;1;12.0;z_Highly Rural/ Rural;27/02/2022 09:10;complet;[250-500€]
164;F;73;Oui;Non;[40k-60k€];Private;Minivan;0;14.0;Highly Urban/ Urban;03/04/2022 03:15;complet;[250-500€]
165;F;56;Non;Non;[0-20k€];Private;Sports Car;1;8.0;z_Highly Rural/ Rural;02/04/2022 11:55;complet;[250-500€]
166;F;53;Oui;Oui;[0-20k€];Private;Minivan;1;1.0;Highly Urban/ Urban;08/04/2022 07:47;complet;[250-500€]
167;F;93;Oui;Non;[60k-80k€];Private;Sports Car;0;17.0;Highly Urban/ Urban;31/05/2022 15:46;complet;[250-500€]
168;F;25;Oui;Non;[40k-60k€];Commercial;Pickup;0;4.0;Highly Urban/ Urban;16/05/2022 17:40;complet;[250-500€]
169;F;58;Non;Non;[100k+€];Commercial;Panel Truck;1;0;Highly Urban/ Urban;22/04/2022 13:14;complet;[250-500€]
170;F;75;Non;Non;[20k-40k€];Commercial;z_SUV;2;11.0;Highly Urban/ Urban;30/05/2022 08:43;complet;[250-500€]
171;M;41;Oui;Non;[60k-80k€];Private;Pickup;1;11.0;Highly Urban/ Urban;01/02/2022 00:03;complet;[250-500€]
172;F;31;Non;Non;[0-20k€];Commercial;Minivan;2;1.0;Highly Urban/ Urban;31/05/2022 16:23;complet;[250-500€]
173;M;58;Non;Non;[80k-100k€];Commercial;Minivan;0;11.0;z_Highly Rural/ Rural;16/02/2022 07:07;complet;[250-500€]
174;F;52;Oui;Non;[60k-80k€];Private;Minivan;0;20.0;Highly Urban/ Urban;21/05/2022 22:01;complet;[250-500€]
175;M;55;Non;Non;[0-20k€];Private;z_SUV;2;1.0;Highly Urban/ Urban;26/04/2022 15:07;complet;[250-500€]
176;M;78;Non;Non;[100k+€];Commercial;Pickup;6;0;Highly Urban/ Urban;14/01/2022 19:18;complet;[250-500€]
177;F;60;Non;Non;[0-20k€];Commercial;Van;0;12.0;Highly Urban/ Urban;16/02/2022 23:39;complet;[250-500€]
179;M;65;Oui;Non;[0-20k€];Private;z_SUV;0;1.0;z_Highly Rural/ Rural;14/01/2022 11:21;complet;[250-500€]
180;F;57;Oui;Non;[40k-60k€];Commercial;Van;0;6.0;Highly Urban/ Urban;10/05/2022 08:25;complet;[500-750€]
181;F;84;Non;Non;[60k-80k€];Commercial;Pickup;1;0;Highly Urban/ Urban;02/05/2022 22:21;complet;[250-500€]
182;F;27;Oui;Oui;[20k-40k€];Commercial;Van;1;6.0;z_Highly Rural/ Rural;10/02/2022 04:16;complet;[250-500€]
183;M;55;Non;Non;[100k+€];Commercial;Panel Truck;0;13.0;z_Highly Rural/ Rural;08/01/2022 11:44;complet;[250-500€]
184;F;87;Non;Non;[100k+€];Private;Van;0;10.0;Highly Urban/ Urban;12/01/2022 23:08;complet;[250-500€]
185;F;70;Non;Non;[0-20k€];Private;Pickup;1;1.0;Highly Urban/ Urban;27/05/2022 23:47;complet;[250-500€]
186;M;25;Oui;Oui;[40k-60k€];Commercial;z_SUV;6;5.0;Highly Urban/ Urban;10/04/2022 22:38;complet;[250-500€]
187;F;68;Non;Non;[20k-40k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;23/03/2022 18:01;complet;[250-500€]
188;F;22;Oui;Non;[0-20k€];Private;z_SUV;0;9.0;Highly Urban/ Urban;24/05/2022 20:26;complet;[250-500€]
189;F;72;Non;Non;[0-20k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;05/01/2022 12:35;complet;[250-500€]
190;F;13;Non;Non;[80k-100k€];Private;Minivan;0;11.0;Highly Urban/ Urban;17/05/2022 21:03;complet;[500-750€]
191;M;50;Non;Non;[60k-80k€];Commercial;Van;5;0;Highly Urban/ Urban;30/05/2022 12:05;complet;[250-500€]
192;M;8;Non;Non;[20k-40k€];Private;Sports Car;3;1.0;Highly Urban/ Urban;25/01/2022 11:38;complet;[250-500€]
193;F;69;Non;Non;[100k+€];Private;Sports Car;0;7.0;z_Highly Rural/ Rural;30/01/2022 11:59;complet;[250-500€]
194;F;30;Non;Non;[40k-60k€];Commercial;Panel Truck;1;1.0;Highly Urban/ Urban;04/01/2022 16:07;complet;[250-500€]
195;F;53;Non;Non;[100k+€];Private;z_SUV;0;15.0;Highly Urban/ Urban;11/02/2022 19:58;complet;[250-500€]
196;F;68;Oui;Non;[40k-60k€];Private;Sports Car;3;7.0;Highly Urban/ Urban;07/04/2022 02:19;complet;[250-500€]
197;F;56;Oui;Non;[40k-60k€];Private;Minivan;4;17.0;Highly Urban/ Urban;09/02/2022 23:54;complet;[250-500€]
198;M;86;Non;Non;[100k+€];Commercial;Panel Truck;2;13.0;Highly Urban/ Urban;27/04/2022 04:09;complet;[250-500€]
199;F;51;Oui;Non;[20k-40k€];Private;z_SUV;0;4.0;Highly Urban/ Urban;25/05/2022 06:02;complet;[250-500€]
200;F;68;Non;Non;[20k-40k€];Commercial;Minivan;0;0;z_Highly Rural/ Rural;10/02/2022 21:22;complet;[250-500€]
201;M;17;Non;Non;[40k-60k€];Private;Sports Car;9;8.0;Highly Urban/ Urban;14/03/2022 03:24;complet;[250-500€]
202;M;74;Non;Non;[60k-80k€];Commercial;Pickup;4;7.0;Highly Urban/ Urban;11/05/2022 10:53;complet;[250-500€]
203;M;65;Oui;Oui;[40k-60k€];Commercial;Minivan;0;1.0;Highly Urban/ Urban;09/04/2022 06:44;complet;[250-500€]
204;F;79;Non;Non;[40k-60k€];Commercial;z_SUV;2;14.0;z_Highly Rural/ Rural;14/04/2022 10:57;complet;[500-750€]
205;M;85;Oui;Non;[20k-40k€];Private;Sports Car;3;7.0;Highly Urban/ Urban;18/04/2022 10:41;complet;[250-500€]
206;M;53;Non;Non;[40k-60k€];Commercial;Minivan;0;1.0;Highly Urban/ Urban;23/03/2022 00:19;complet;[250-500€]
207;M;84;Non;Non;[60k-80k€];Commercial;Minivan;6;0;Highly Urban/ Urban;09/05/2022 19:49;complet;[250-500€]
208;M;61;Non;Non;[20k-40k€];Private;Minivan;0;12.0;z_Highly Rural/ Rural;04/02/2022 03:00;complet;[250-500€]
209;M;64;Oui;Oui;[20k-40k€];Commercial;Panel Truck;1;8.0;Highly Urban/ Urban;19/04/2022 01:02;complet;[500-750€]
210;F;54;Oui;Non;[20k-40k€];Private;z_SUV;0;5.0;z_Highly Rural/ Rural;03/04/2022 22:13;complet;[250-500€]
211;F;21;Oui;Oui;[40k-60k€];Private;Minivan;1;8.0;z_Highly Rural/ Rural;18/01/2022 05:21;complet;[250-500€]
212;F;51;Non;Non;[100k+€];Commercial;Panel Truck;1;16.0;Highly Urban/ Urban;23/03/2022 16:17;complet;[250-500€]
